state,year,total_injuries,total_annual_average_employees,avg_injuries_per_employee
AK,2016,2131.0,56202.0,0.03791680011387495
AK,2017,2994.0,76368.0,0.0392049025769956
AK,2018,3035.0,81222.0,0.03736672330156854
AK,2019,2817.0,83905.0,0.03357368452416423
AK,2020,2159.0,73324.0,0.029444656592657246
AK,2021,2189.0,72065.0,0.03037535558176646
AK,2022,2651.0,92501.0,0.0286591496308148
AK,2023,3315.0,99420.0,0.03334339167169584
AL,2016,14324.0,586734.0,0.024413107132022348
AL,2017,13896.0,627443.0,0.02214703168255921
AL,2018,15276.0,626276.0,0.02439180169765407
AL,2019,16042.0,655133.0,0.024486630958904528
AL,2020,11765.0,426763.0,0.027567994413761267
AL,2021,14344.0,467566.0,0.030678021926316284
AL,2022,14874.0,511400.0,0.029084865076261245
AL,2023,15329.0,559691.0,0.027388326773165907
AR,2016,7829.0,251863.0,0.031084359354093295
AR,2017,7713.0,258032.0,0.0298916413468097
AR,2018,8714.0,289806.0,0.030068390578524944
AR,2019,8494.0,296063.0,0.028689839662504265
AR,2020,6786.0,256485.0,0.026457687584069245
AR,2021,7466.0,279339.0,0.026727381425436476
AR,2022,8001.0,321765.0,0.024865973614283717
AR,2023,9063.0,354144.0,0.025591284901057196
AZ,2016,22970.0,617581.0,0.03719350174309119
AZ,2017,20626.0,627458.0,0.032872319740922896
AZ,2018,25851.0,712478.0,0.03628322558731638
AZ,2019,25091.0,724808.0,0.03461744351607598
AZ,2020,20417.0,611131.0,0.033408549067221266
AZ,2021,22825.0,645033.0,0.0353857864636383
AZ,2022,27811.0,802305.0,0.034663874710988966
AZ,2023,28320.0,887688.0,0.03190310108957201
CA,2016,37331.0,1119683.0,0.033340686605048034
CA,2017,156375.0,4094862.0,0.03818810011179864
CA,2018,173959.0,4437559.0,0.03920150695461176
CA,2019,163330.0,4332432.0,0.037699379932564434
CA,2020,119977.0,3737911.0,0.03209733993131458
CA,2021,144693.0,4584674.0,0.03156015018734157
CA,2022,152585.0,4750439.0,0.032120189313029804
CA,2023,169133.0,15118128.0,0.011187430083936318
CO,2016,17612.0,491075.0,0.03586417553326885
CO,2017,17372.0,502565.0,0.03456667296767582
CO,2018,20820.0,548893.0,0.03793088999130978
CO,2019,21883.0,578125.0,0.037851675675675676
CO,2020,17881.0,524990.0,0.03405969637516905
CO,2021,20042.0,538900.0,0.03719057339023937
CO,2022,23026.0,603070.0,0.03818130565274346
CO,2023,23694.0,662015.0,0.035790729817300214
CT,2016,20396.0,505556.0,0.040343700796746554
